state_l,state_s,city,metro,rank,workers,industry,url,website,id,leadership,founded,company
Iowa,IA,Urbana,"Cedar Rapids, IA",3659,123,Retail,clickstop,clickstop.com,17892,Tim Guenther,2005-01-01,Clickstop
Iowa,IA,Des Moines,"Des Moines-West Des Moines, IA",3660,37,Consumer Products & Services,schaal-heating-cooling,callschaalyaall.com,77501,Randy Keys,1956-01-01,Schaal Heating & Cooling
Illinois,IL,Chicago,Chicago,3661,83,Retail,lightology,lightology.com,77506,Gregory Kay,2001-01-01,Lightology
Georgia,GA,Bainbridge,"Bainbridge, GA",3662,885,Energy,southwest-georgia-oil-co,swgaoil.com,77511,Mike Harrell,1967-01-01,Southwest Georgia Oil Co.
Kentucky,KY,Covington,Cincinnati,3663,168,Business Products & Services,tier1,tier1performance.com,2831,Greg Harmeyer,2002-01-01,TiER1
New York,NY,New York City,New York City,3664,103,Financial Services,innovest-systems,innovestsystems.com,20137,Glenn Schmidt,2000-01-01,Innovest Systems
New Hampshire,NH,Bedford,"Manchester-Nashua, NH",3665,24,Human Resources,the-nagler-group,naglergroup.com,21742,Matthew Nagler,2008-01-01,The Nagler Group
Washington,WA,Bellevue,Seattle,3666,128,IT Services,divensi,divensi.com,37252,PK Samal,2010-01-01,Divensi
Ohio,OH,Cincinnati,Cincinnati,3667,1668,Human Resources,paycor,paycor.com,2746,Bob Coughlin,1990-01-01,Paycor
Texas,TX,Amarillo,"Amarillo, TX",3668,26,IT Services,runbiz,run.biz,77516,Drew Terrell,2007-01-01,Runbiz
Virginia,VA,Kilmarnock,,3669,160,Government Services,marathon-ts,marathonts.com,25153,Pam Siek,2009-01-01,Marathon TS
Georgia,GA,Atlanta,Atlanta,3670,15,Retail,acadia-shutters,acadiashutters.com,25613,Rob Shields,2003-01-01,Acadia Shutters
Georgia,GA,Atlanta,Atlanta,3671,36000,IT Services,insight-global,insightglobal.com,787,Glenn Johnson,2001-01-01,Insight Global
Georgia,GA,Norcross,Atlanta,3672,94,Business Products & Services,insight-sourcing-group,insightsourcing.com,17226,Tom Beaty,2002-01-01,Insight Sourcing Group
Minnesota,MN,Bloomington,Minneapolis,3673,42,IT Services,imagine-it,imagineiti.com,77521,Richard Anderson,1996-01-01,Imagine IT
Oregon,OR,Portland,"Portland, OR",3674,204,Software,smarsh,smarsh.com,274,Stephen Marsh,2001-01-01,Smarsh
Florida,FL,Clearwater,Tampa,3675,74,Real Estate,boos-development-group,boosdevelopment.com,77526,Robert D. Boos,1997-01-01,Boos Development Group
Missouri,MO,St. Louis,"St. Louis, MO-IL",3676,185,Advertising & Marketing,abstrakt-marketing-group,http://abstraktmg.com,25227,Scott Scully,2009-01-01,abstrakt marketing group
